freq	gainmag
5.000000000000000e+003	3.045740e+001
5.743490000000000e+003	3.184760e+001
6.597540000000000e+003	3.322900e+001
7.578580000000000e+003	3.461120e+001
8.705510000000000e+003	3.598000e+001
1.000000000000000e+004	3.736640e+001
1.148700000000000e+004	3.881000e+001
1.319510000000000e+004	4.028800e+001
1.515720000000000e+004	4.184700e+001
1.741100000000000e+004	4.355640e+001
2.000000000000000e+004	4.543320e+001
2.297400000000000e+004	4.758490e+001
2.639020000000000e+004	5.015730e+001
3.031430000000000e+004	5.334880e+001
3.482200000000000e+004	5.708150e+001
4.000000000000000e+004	5.839840e+001
4.594790000000000e+004	5.514700e+001
5.278030000000000e+004	5.161250e+001
6.062870000000000e+004	4.875730e+001
6.964400000000000e+004	4.641740e+001
8.000000000000000e+004	4.440370e+001
9.189589999999999e+004	4.262320e+001
1.055610000000000e+005	4.098190e+001
1.212570000000000e+005	3.945910e+001
1.392880000000000e+005	3.801520e+001
1.600000000000000e+005	3.662200e+001
1.837920000000000e+005	3.525550e+001
2.111210000000000e+005	3.390130e+001
2.425150000000000e+005	3.254600e+001
2.785760000000000e+005	3.119050e+001
3.200000000000000e+005	2.980880e+001
3.675830000000000e+005	2.839950e+001
4.222430000000000e+005	2.695010e+001
4.850290000000000e+005	2.544080e+001
5.000000000000000e+005	2.511160e+001
